Party,Value
Indian National Congress,7538
Shiv Sena,4666
Dravida Munnetra Kazhagam,4403
Yuvajana Sramika Rythu Congress Party,4317
Biju Janata Dal,1628
Janata Dal (United),1620
All India Trinamool Congress,1608
Telangana Rashtra Samithi,1499
Nationalist Congress Party,1305
Bahujan Samaj Party,862
Telugu Desam Party,512
Communist Party of India (Marxist),502
Independent,428
Indian Union Muslim League,398
All India Majlis-E-Ittehadul Muslimeen,377
Communist Party of India,241
Rashtriya Loktantrik Party,167
Lok Jan Shakti Party,166
All India United Democratic Front,164
Revolutionary Socialist Party,164
